Produit;Marque;Pays;Energie (kcal/100g);Graisse (g/100g);Sucres (g/100g);Protéines (g/100g);Score nutritionnel;;;;;
Sablés chocolat;McVitie's;France;496.0;23.6;28.5;6.7;28.0;;;;;
لينيا;Jaouda;France;48.0;0.0;0.0;4.9;-2.0;;;;;
NAKD PROTEIN - Cacao noisette - 45g (16x1p);Nakd;France;424.0;22.0;28.0;16.0;;;;;;
Rich and indulgent Hazelnut;Promise Gluten Free;Belgium;221.0;1.6;3.2;0.4;4.0;;;;;
Mon p'tit plaisir;Milbona;France;199.0;16.8;3.3;8.2;13.0;;;;;
Tesco Finest Greek Yoghurt;Tesco;Ireland;132.0;10.3;3.3;6.1;6.0;;;;;
Original Full Fat Soft Cheese;Emporium;Spain;229.0;21.5;3.2;5.6;13.0;;;;;
Cocoa Orange;Nakd;United-kingdom;394.0;16.0;43.0;8.7;12.0;;;;;
Viva lait 1/2 écrémé;candia;France;41.0;1.0;4.8;3.3;-1.0;;;;;
Tesco British Salted Block Butter;Tesco;France;745.0;82.2;0.6;0.6;26.0;;;;;
180G LT NOISETTE COTE D OR;Côte d'Or;Algeria;555.0;36.0;43.0;9.3;26.0;;;;;
Greek style natural yogurt;Sainsbury's;United-kingdom;103.0;7.6;4.2;4.0;6.0;;;;;
Oat;Aldi,Acti Leaf;France;49.0;2.4;2.6;0.6;5.0;;;;;
babybel;Babybel;Spain;295.0;23.0;0.01;22.0;14.0;;;;;
Activia ananas fraise;danone, سنطرال دانون;Morocco;60.0;1.2;5.5;2.7;0.0;;;;;
MUSCLY FROMAGE 24;Jaouda, Copag;Morocco;264.0;22.0;0.0;9.0;20.0;;;;;
Or Blanc;Or Blanc;Morocco;226.0;18.0;5.9;9.5;30.0;;;;;
Organic Gluten-Free Oat Drink;Plenish;United-kingdom;33.0;0.3;3.8;0.6;5.0;;;;;
Coconut milk;Blue Dragon;Spain;143.0;15.0;1.4;0.6;19.0;;;;;
La bûche fondante;Lactalis, Président;France;275.0;23.0;0.5;17.0;14.0;;;;;
Organic Almond milk;plenish;France;26.0;2.2;0.2;0.9;2.0;;;;;
Ghilal;Jaouda;Morocco;106.0;3.0;7.5;3.5;4.0;;;;;
Greek Style Natural Yogurt;By Sainsbury's;United-kingdom;103.0;7.6;4.2;4.0;5.0;;;;;
Alpro Not Milk;ALPRO;Austria;59.0;3.5;0.0;0.7;5.0;;;;;
fromage herbes milky food;milky foof;Morocco;228.0;21.0;0.0;4.8;1.0;;;;;
Milk Chocolate;Ferrero Rocher;Belgium;614.0;44.4;45.4;6.2;30.0;;;;;
Lait 100 % français Matin Léger® Demi-Écrémé;Lactel;France;43.0;1.2;4.8;3.3;-1.0;;;;;
Twix Twin;Mars Wrigley;Belgium;492.0;23.6;49.2;4.4;31.0;;;;;
Yorkshire Cottage Cheese Natural;Longley Farm;France;104.0;6.0;2.1;10.3;4.0;;;;;
Philadelphia Original;Mondelez International;Belgium;756.0;68.9;14.4;17.8;16.0;;;;;
Yogur griego natural;Hacendado;Spain;103.2;8.64;3.12;3.12;5.0;;;;;
Kefir yogurt;Biotiful;United-kingdom;72.0;2.0;4.8;6.0;0.0;;;;;
Semi Oat Drink;Oatly;Spain;48.0;1.5;3.4;1.0;5.0;;;;;
President emmental coeur de meule 250g;Lactalis, Président;France;369.0;29.0;0.5;27.0;9.0;;;;;
Hipro Myrtille;Hipro, Danone;Belgium;54.0;0.1;3.4;9.3;-3.0;;;;;
Kefir Natural;Yeo Valley;United-kingdom;56.0;1.9;5.7;4.0;2.0;;;;;
Whole Nut Milk Chocolate;Fin Carré;Bulgaria;582.0;39.7;40.2;9.0;29.0;;;;;
Milk Chocolate;Tony's Chocolonely;United-kingdom;547.0;33.3;50.7;7.67;30.0;;;;;
Organic Oat drink;Plenish;United-kingdom;33.0;0.3;3.8;0.6;5.0;;;;;
Actimel;Danone;Morocco;78.389830508475;1.9067796610169;5.2966101694915;2.0127118644068;9.0;;;;;
Mature Cheddar;Cathedral City;United-kingdom;416.0;34.9;0.1;25.4;16.0;;;;;
Break Chocolate Fingers;Break,Tiffany;Lebanon;496.0;24.0;48.0;8.0;30.0;;;;;
Soya Unsweetened plant based;Lidl;Ireland;33.0;1.7;0.5;3.0;-4.0;;;;;
Peanut Delight;nākd;United-kingdom;442.0;23.0;35.0;12.0;14.0;;;;;
;Nestlé;Belgium;513.0;25.8;50.4;6.5;31.0;;;;;
Alpro Sojadrink; Schokoladen-Geschmack; Protein 1L;alpro;Belgium;69.0;2.8;5.0;5.0;2.0;;;
Soft cheese;Tesco;Ireland;245.0;23.3;3.3;4.4;14.0;;;;;
Coconut Milk;Sainsbury's;United-kingdom;149.0;14.8;1.6;1.3;16.0;;;;;
Gallette di riso - Cioccolato al latte;Sondey;Belgium;499.0;24.0;30.0;7.4;24.0;;;;;
Greek Natural Yogurt;Milbona;France;132.0;10.0;4.0;6.0;7.0;;;;;
