Produit;Marque;Pays;Energie (kcal/100g);Graisse (g/100g);Sucres (g/100g);Protéines (g/100g);Score nutritionnel;;;;;
fresh root ginger;Booster, Muju;France;49.0;0.5;9.9;0.8;7.0;;;;;
Marrakech Peche 1l dakhla;Marrakech;France;51.0;0.10000000149012;11.800000190735;0.31000000238419;20.0;;;;;
Orange & Mango Juice;Tesco;France;50.0;0.0;9.7;0.7;6.0;;;;;
Enjoy zumo tropical;Tesco;Morocco;16.0;0.0;4.0;0.0;8.0;;;;;
Peach Juice Drink;Don Simon;France;44.0;0.0;10.5;0.2;6.0;;;;;
Juicy & zingy 100% orange juice squeezed;By Sainsbury's;United-kingdom;37.0;0.5;7.6;0.6;3.0;;;;;
Orange Juice From Concentrate;Tesco;United-kingdom;47.0;0.10000000149012;10.39999961853;0.5;12.0;;;;;
Freshly squeezed Orange juice;Lidl Flavita;United-kingdom;44.0;0.1;9.4;0.8;;;;;;
Orange juice;Lidl;United-kingdom;50.0;0.2;10.4;0.7;6.0;;;;;
Orange Juice Smooth;The Juice Company;United-kingdom;42.0;0.0;8.3;0.5;4.0;;;;;
JUS DE GRENADE 100% pur jus;Carrefour BIO, Carrefour;France;48.0;0.0;12.0;0.0;7.0;;;;;
Tesco pinapple slices in juice;Tesco;United-kingdom;51.0;0.1;12.2;0.3;;;;;;
Smooth orange;Innocent;United-kingdom;42.0;0.0;8.8;0.71;4.0;;;;;
7UP Zero/Free Bottle 500ml;7 up;United-kingdom;2.0;0.0;0.0;0.0;4.0;;;;;
Twister Mini;Twister;United-kingdom;78.0;0.5;13.0;0.5;3.0;;;;;
Pepsi;Pepsi Cola;India;43.0;0.0;10.9;0.0;12.0;;;;;
Nestea de piersici;Nestea;Romania;19.0;0.5;4.5;0.5;4.0;;;;;
NEVER FROM CONCENTRATE Juice COMPANY 100% PURE PRE;The Juice Company;Ireland;48.0;0.2;10.3;0.6;;;;;;
Capri-sun orange;capri-sun;Belgium;19.0;0.0;4.4;0.0;;;;;;
Tomato juice;Tesco;France;24.0;0.1;4.3;0.9;1.0;;;;;
tropical juice;innocent;United-kingdom;40.0;0.0;8.9;0.4;10.0;;;;;
Cawston Press Apple & Rhubarb Juice;Cawston Press;France;46.0;0.4;9.2;0.2;5.0;;;;;
Minute Maid Orange;Minute Maid;Belgium;42.0;0.0;8.7;0.7;4.0;;;;;
Frutos vermelhos;Compal;France;18.0;0.0;3.6;0.0;4.0;;;;;
Mogu Mogu Juice Pina Colada Flavored Drink;Mogu Mogu;France;42.0;0.0;9.0;0.0;10.0;;;;;
Happy Day 100% Multivitamin;Rauch;Austria;49.0;0.5;10.0;0.5;7.0;;;;;
Cranberry Juice Drink;Tesco;France;3.0;0.1;0.4;0.1;4.0;;;;;
Sauerkirschen;Freshona, Gloster KFT;France;64.0;0.1;12.0;0.7;1.0;;;;;
Orange juice from concentrate;Tesco,Grower's Harvest;United-kingdom;47.0;0.1;10.5;0.5;6.0;;;;;
;Innocent;Spain;42.0;0.0;10.0;0.18;5.0;;;;;
Apple juice from concentrate;The Grower's Harvest;Germany;48.0;0.1;11.4;0.1;9.0;;;;;
Barley Water Lemon;Robinsons;France;18.0;0.0;3.8;0.0;;;;;;
PomeGreat Pomegranate Juice Drink with Sweetener 1 Litre;;United-kingdom;18.0;0.0;4.2;0.1;8.0;;;;;
Lemon juice from concentrate;Asda;United-kingdom;22.0;0.5;0.9;0.5;-3.0;;;;;
Sun quench;aldi;United-kingdom;2.0;0.0;0.1;0.0;4.0;;;;;
Caprisun multi vitamin;;France;34.0;0.0;8.0;0.0;12.0;;;;;
Apple Juice;Lidl;United-kingdom;45.0;0.0;11.0;0.1;6.0;;;;;
jaouda pres up 1l;jaouda;Morocco;51.0;0.0;12.1;0.0;14.0;;;;;
Pur jus de pomme de France filière pet 1l;U;France;44.0;0.5;9.8;0.5;5.0;;;;;
A CEDEVITA NARANČA 11.5L EFRESH DOSE OF 9 VITAMINS;Cedevita;Germany;366.0;0.0;84.0;0.0;31.0;;;;;
Pear Halves;Sainsbury's;South-africa;38.0;0.5;8.5;0.5;-3.0;;;;;
hohes C Roter Multivitaminsaft; mit 7 Vitaminen 1 l. 1;11€ zzgl. Pfand 0;25€;hohes c;Germany;47.0;0.0;9.9;0.0;7.0;;
Exotic Energise Smoothie;Innocent;United-kingdom;47.0;0.01;9.9;0.2;;;;;;
Fructe de Pădure;Fuzetea;Romania;20.0;0.0;4.5;0.0;4.0;;;;;
Pur jus de citron;Solevita;France;27.0;0.1;1.7;0.0;;;;;;
Peaches halves in juice;Del Monte;Belgium;53.0;0.0;12.0;0.4;1.0;;;;;
Jus De Betteraves Bio Bjorg; 75cl;Bjorg;France;36.0;0.5;7.5;1.0;9.0;;;;
Ananas Coco;Caresse antillaise;France;64.0;2.5;8.5;0.5;14.0;;;;;
Mermelada de Naranja;ST DALFOUR;United-kingdom;208.0;0.0;48.4;0.0;11.0;;;;;
Lemon Juice Natural Strength;Consumers pride, Pride;France;24.0;0.1;1.4;0.3;-1.0;;;;;
Orangina;Orangina;France;7.0;0.0;1.2;0.0;5.0;;;;;
Sparkling Apple Presse;Cawston press;Belgium;24.0;0.0;5.8;0.1;4.0;;;;;
Prince Goût Chocolat;LU;Algeria;465.0;17.5;31.5;6.5;20.0;;;;;
Supreme Dark 90%;Lindt;Algeria;592.0;55.0;7.0;10.0;19.0;;;;;
Tonik;bimo;Morocco;504.0;22.2;40.0;4.35;28.0;;;;;
Sésame;Gerblé;Belgium;467.0;18.0;17.0;10.0;9.0;;;;;
Chocolat noir - 85% cacao;J.D. Gross;Austria;600.0;48.0;12.0;12.0;15.0;;;;;
Henry’s;Henry's;Morocco;440.0;10.8235;24.2353;7.6471;21.0;;;;;
;Maruja;Algeria;539.0;33.0;50.0;7.2;31.0;;;;;
Organic 70% Dark Chocolate Bar;Green & Black's;France;580.0;42.0;29.0;9.1;20.0;;;;;
KING COOKIES;Excelo;Morocco;483.0;24.0;32.0;5.2;26.0;;;;;
Sable coco Henry s 42g;Henry's;Morocco;443.0;12.4;23.8;7.62;22.0;;;;;
Tartine croustillante Authentique;wasa;France;336.0;1.5;1.0;9.0;0.0;;;;;
Excellence Noir Intense 70% Cacao;Lindt;Algeria;566.0;41.0;30.0;9.5;25.0;;;;;
Lightly sea salted crisps;Tyrrell's;France;476.0;27.0;0.64;6.2;8.0;;;;;
Dark chocolate;Green and black;Belgium;606.0;50.0;13.9;10.0;15.0;;;;;
Excellence Noir Puissant 85% Cacao;Lindt;Austria;584.0;46.0;15.0;12.5;21.0;;;;;
Fourrés Chocolat Noir;Bjorg;France;476.0;19.0;27.0;7.6;18.0;;;;;
Extra dark 74% Cocoa;fin CARRÉ;Belgium;571.0;42.0;26.0;9.9;24.0;;;;;
FIBRES;Wasa;Belgium;333.0;5.0;2.0;12.0;0.0;;;;;
Henry’s;Henry’s;Morocco;440.0;10.8;24.2;7.65;21.0;;;;;
Momo black;Excelo;Morocco;497.0;21.0;27.0;7.0;23.0;;;;;
70% chocolate;Lindt & Sprüngli;Australia;562.0;41.0;30.0;9.5;25.0;;;;;
Eyoo cover;EXCELO;Morocco;452.0;23.0;0.0;6.0;4.0;;;;;
Tartines craquantes au sarrasin imp;Ekibio,Le pain des Fleurs;Belgium;388.0;2.8;2.6;13.4;0.0;;;;;
Pomme 🍏 🍎 Noisette🥜;Gerblé;Belgium;453.0;17.0;11.0;9.8;1.0;;;;;
Trios;Aperitivos company;Morocco;534.0;32.1;54.0;5.2;40.0;;;;;
Dark Chocolate 70%;J.D. Gross,Lidl;Belgium;544.0;40.0;27.2;8.8;19.0;;;;;
Nutella;Ferrero;Austria;533.33;30.67;56.0;6.0;36.0;;;;;
Pringles Original;Pringles;Italy;534.0;31.0;1.4;5.9;16.0;;;;;
Crunchy oats & honey;Nature Valley;Belgium;436.0;16.9;25.1;8.0;13.0;;;;;
Figue & son;Gerblé;Belgium;450.0;19.0;16.0;9.3;2.0;;;;;
Bitter Extra Kraftig;Lindt,Lindt&Sprüngli;Australia;573.0;49.0;1.0;14.0;20.0;;;;;
Nestlé Dessert;Nestlé;Belgium;548.0;34.1;46.4;6.0;25.0;;;;;
Petit beurre;Bé;Morocco;427.0;17.5;15.3;6.6;18.0;;;;;
Pains au lait x10;Pasquier;Belgium;353.0;11.0;11.0;8.6;6.0;;;;;
Chocolat au lait;Milka;Algeria;539.0;31.0;55.0;6.5;32.0;;;;;
Brioche Tranchée Bio 400g;La Boulangère;France;336.0;9.4;13.0;8.8;10.0;;;;;
King cookies choco;Excelo;Morocco;475.0;24.0;31.2;5.4;25.0;;;;;
Granatapfel Sauerkirsche Fruchtgummi;Deli Originals Fresh;Austria;138.0;1.84;0.4;2.88;5.0;;;;;
Bio Chocolat Noir Cacao 70%;LIDL;Belgium;570.0;42.0;28.0;9.0;21.0;;;;;
Fruit & Nut Mix;Alesto,Lidl;France;504.0;31.7;35.7;10.8;13.0;;;;;
Excellence Noir Subtil Doux 70% Cacao;Lindt Excellence;Australia;610.0;48.0;29.0;6.9;25.0;;;;;
La gâche tranchée;La Fournée Dorée;France;341.0;12.0;13.0;8.1;19.0;;;;;
Sour Cream & Onion;Pringles;Algeria;537.0;33.3;7.41;6.67;24.0;;;;;
Chocolat Noir 92% cacao;Dark Excellente;Morocco;580.0;49.0;10.0;15.0;19.0;;;;;
Biscoff Creamy;Lotus;Algeria;584.0;38.1;36.8;2.9;26.0;;;;;
Granola L'Original;LU, Mondelez International;Belgium;491.0;23.0;28.0;5.9;28.0;;;;;
Cracotte Céréales Complètes;lu, LU;Belgium;380.0;2.8;7.9;11.0;10.0;;;;;
Ecuador dark chocolate;Tesco finest;United-kingdom;590.0;45.0;28.0;7.0;20.0;;;;;
Chips;Kettle;United-kingdom;494.0;25.4;0.1;7.7;12.0;;;;;
Pringles Sare;Pringles;Armenia;530.0;31.0;0.9;6.1;11.0;;;;;
wasa;Barilla,Wasa;France;338.0;1.5;2.0;9.0;0.0;;;;;
Henry's Sable Coco Biscuit 85G;Henrys;Morocco;376.5;10.5;20.0;6.5;17.0;;;;;
Cracotte;LU;Belgium;387.0;2.7;7.9;11.0;14.0;;;;;
Biscuit raisins;Gerblé;France;442.0;14.0;17.0;8.5;5.0;;;;;
Nutri+ avoine chocolat;Bjorg;France;454.0;18.0;17.0;8.2;10.0;;;;;
Biscuits goût chocolat;BN;Belgium;453.0;17.1;29.8;6.63;25.0;;;;;
digestives;McVitie's;France;483.0;21.3;15.1;7.0;25.0;;;;;
Harrys brioche tressee nature au sucre perle sans additifs 500g;Harrys;France;356.0;13.0;13.0;8.6;5.0;;;;;
Protein Cacahuetes🥜 & Chocolat🍫;Nature Valley;Belgium;488.0;28.2;17.0;25.5;;;;;;
Tartines craquantes quinoa - pois chiche;Jardin Bio;France;378.0;1.6;0.6;9.6;1.0;;;;;
Lightly Salted Low Fat Corn Cakes;Kallø;France;359.0;1.38;1.38;6.9;8.0;;;;;
Figolu;LUMondelez;France;400.0;8.12;50.0;4.69;21.0;;;;;
Krit krititas galletas saladas;Cuétara, Krit;Israel;505.0;26.0;8.7;6.5;26.0;;;;;
Sour Cream & Onion;Pringles;France;525.0;30.0;2.7;6.0;17.0;;;;;
Crunchy avoine et miel;Nature ValleyGeneral Mills;France;467.0;18.1;26.8;8.7;14.0;;;;;
;حلال;Morocco;519.8;35.0;51.0;4.5;27.0;;;;;
Biscuit lait chocolat;Gerblé,Gerblé Vitalité,Nutrition & Santé;Belgium;457.0;17.0;21.0;8.5;14.0;;;;;
Crunchy Avoine & Chocolat Noir x 5 x 2 barres de 21 g;General Mills,Nature Valley;France;473.0;19.8;26.8;8.7;14.0;;;;;
Cookie🍪 cacao pépites Sans Sucre;Gerblé;Belgium;414.0;18.0;0.0;8.0;1.0;;;;;
Dark milk chocolate;Tesco;United-kingdom;597.0;44.6;33.6;9.9;24.0;;;;;
petit déjeuner miel et pépites de chocolat;belvita;Belgium;409.0;15.0;26.0;5.7;15.0;;;;;
Biscuit soja orange;Gerblé;France;444.0;14.0;18.0;11.0;10.0;;;;;
Sablés Anglais L'Original;McVitie's,United Biscuits;France;483.0;21.3;15.1;7.0;25.0;;;;;
Excellence Noir Corsé 78% Cacao;Lindt;Australia;570.0;46.0;17.0;10.0;21.0;;;;;
Картофельные чипсы со вкусом парики;Pringles;Bulgaria;522.0;30.0;3.2;6.7;12.0;;;;;
Brioche moins de sucre;Harrys;France;327.0;11.0;9.3;8.4;7.0;;;;;
Chocolat monogram;Macao;Morocco;528.0;30.0;53.0;5.0;27.0;;;;;
Lentil & Pea Veggie Cakes - Beetroot & Balsamic;Kallø;United-kingdom;426.0;11.7;3.19;25.5;2.0;;;;;
Pringles Original;Kellogg's, Pringles;Austria;530.0;31.0;0.9;6.1;11.0;;;;;
Fourrés Chocolat au Lait;Bjorg;France;486.0;20.0;30.0;7.5;22.0;;;;;
Pringles;Pringles;Belgium;534.0;31.0;1.4;5.9;16.0;;;;;
Digestive Avena Choco;Gullón;Portugal;476.0;21.0;22.0;7.6;21.0;;;;;
Chocolate Negro;Dark Excelente;Morocco;569.0;47.0;12.0;14.0;20.0;;;;;
180G C OR NOIR NOISETTE;Côte D’Or, Mondelez;Algeria;569.0;39.0;40.0;7.3;23.0;;;;;
Coco specialty;Confetteria Raffaello,Ferrero;Bulgaria;627.0;48.3;33.6;7.4;27.0;;;;;
Barres de fruits secs & noix Myrtilles;nakd;Belgium;368.0;11.0;49.0;6.6;12.0;;;;;
Tagger;Bimo;Morocco;535.0;29.0;47.0;3.3;29.0;;;;;
Goûter 4S Saveur pommes;Gerblé;France;456.0;17.0;8.9;7.6;1.0;;;;;
Wheat Biscuits;Tesco;United-kingdom;358.0;2.0;4.4;12.0;-3.0;;;;;
Protein Cocoa Hazelnut Bars;Nakd;Belgium;421.0;21.7;25.2;16.1;;;;;;
Thé - Biscuits;Lu;France;453.0;14.0;26.0;7.5;20.0;;;;;
Petites Madeleines;St Michel;France;419.0;21.0;23.0;5.5;15.0;;;;;
Goûter pépites de chocolat;Gerblé;Belgium;452.0;16.8;21.2;9.62;12.0;;;;;
Sea salt & cider vinegar chips;Tyrrell’s;France;467.0;25.0;2.5;5.8;13.0;;;;;
Príncipe crema de chocolate;LU;France;235.0;8.5;16.0;3.0;8.0;;;;;
Kinder Bueno White;Kinder;Belgium;571.0;35.9;43.9;8.5;30.0;;;;;
PROPERCHIPS Sea Salt Lentil Chips;Proper;United-kingdom;480.0;21.5;0.5;10.0;13.0;;;;;
napolitain;LU, Mondelez, Napolitain;France;430.0;19.7;32.0;4.33;27.0;;;;;
Petits fours financiers;;France;452.0;22.9;31.6;8.1;24.0;;;;;
Biscuits pavot citron;Gerblé;France;454.0;16.0;16.0;8.9;9.0;;;;;
The Original Crunchy Rye Breads;Ryvita;Ireland;352.0;0.952;2.86;10.5;-2.0;;;;;
Pringles Original;PRINGLES;Belgium;534.0;31.0;1.4;5.9;16.0;;;;;
Blueberry Muffin Myrtilles;Nakd;France;374.0;11.1;48.6;6.57;12.0;;;;;
merendina big;bimo;Morocco;402.0;19.0;38.0;4.1;28.0;;;;;
Belvita Original Petit-Déjeuner miel et pépites de chocolat;LU;Belgium;444.0;15.0;28.0;7.3;15.0;;;;;
Véritable Petit Écolier Chocolat au Lait;LU,Mondelez International;Algeria;498.0;23.0;39.0;6.2;30.0;;;;;
Belvita Petit Déjeuner Chocolat;LU,Mondelez;Belgium;439.0;14.0;27.0;7.9;14.0;;;;;
Proper Corn Sweet & Salty;Popper Corn;Belgium;465.0;20.4;11.3;7.6;7.0;;;;;
Edelbitter Mild 90%;J.D. Gross;Belgium;605.0;51.9;7.3;11.0;14.0;;;;;
Véritable Petit Beurre Pocket;lu;Belgium;440.0;12.0;23.0;8.1;23.0;;;;;
Chips de lentilles saveur fines herbes;Vico;France;453.0;19.0;2.3;13.0;7.0;;;;;
Chocolat noir Equateur Bio;J.D. Gross;France;639.0;55.3;14.0;9.0;17.0;;;;;
Biscuit complet au germe de blé;Gerblé;France;440.0;14.3;21.4;9.52;9.0;;;;;
Milka galette choco;LU;Belgium;504.0;24.0;35.0;5.7;28.0;;;;;
Ryvita Multigrain Crispbread;RYVITA;France;352.0;4.76;3.81;12.4;-3.0;;;;;
Tartines craquantes sarrasin;Céréal Bio;France;370.0;1.7;1.5;12.0;1.0;;;;;
Cocoa Orange Fruit & Nut Bars;Nakd;United-kingdom;394.0;15.4;42.9;8.57;;;;;;
Excellence Noir à la Pointe de Fleur de Sel;Lindt;France;537.0;32.0;47.0;5.7;30.0;;;;;
Cream Crackers;Jacob’s;France;440.0;13.5;1.4;10.0;16.0;;;;;
Pistaches de Californie;Alesto, Lidl;Belgium;605.0;49.0;5.0;26.0;7.0;;;;;
Organic Crisp Bread;DR KARG'S;France;442.0;18.0;2.4;18.0;12.0;;;;;
Brioche Tranchée Recette Classique;Harrys;France;345.0;11.0;15.0;8.0;15.0;;;;;
Véritable Petit Beurre;Lu;France;440.0;12.0;23.2;8.0;23.0;;;;;
Sweet & Salty Nut chocolat noir et mélange de noix; 5 barres de 30 g;General Mills France,Nature valley;Belgium;464.0;22.9;23.3;9.5;18.0;;;;
Cheese Oatcakes;nairn's;France;473.0;26.6;0.6;13.6;24.0;;;;;
Dark Chocolate;Fin Carré;Czech-republic;531.0;31.5;47.7;5.7;24.0;;;;;
Wholegrain Wheat Bixies;Crownfield - Lidl;Ireland;362.0;2.25;3.0;12.7;-5.0;;;;;
Granola LU;LU;France;503.0;26.0;36.0;5.7;29.0;;;;;
Cuites au four nature;Lay’s;Belgium;442.0;13.0;5.3;5.9;8.0;;;;;
Sour Cream & Onion®;Pringles, Pringles - Kellogg;Austria;517.0;29.0;2.1;6.3;12.0;;;;;
Belvita Brut & 5 céréales complètes;Lu;Belgium;438.0;14.0;22.0;7.8;15.0;;;;;
Chocolate negro 95% cacao;J. D. Gross;Croatia;592.0;51.2;2.4;12.8;12.0;;;;;
Goûter aux raisins;Gerblé;Belgium;434.0;14.0;21.0;9.4;8.0;;;;;
Pringles sour cream;Pringles;Austria;517.0;29.0;2.1;6.3;12.0;;;;;
Granola L'original Gros éclats de chocolat;Granola,LU,Mondelez;France;503.0;26.0;36.0;5.7;29.0;;;;;
Toblerone;Toblerone;Algeria;528.0;28.0;60.0;5.6;31.0;;;;;
Organic Milk Chocolate;Green & Black's;Ireland;561.0;36.0;46.0;9.8;31.0;;;;;
Noir Extra;Poulain;France;508.0;28.0;52.0;4.9;24.0;;;;;
Le cookie Chocolat Noisette;Bjorg;France;496.0;26.0;29.0;7.4;17.0;;;;;
Tonik;Bimo;France;503.0;23.0;39.0;4.8;26.0;;;;;
Tartines céréales 450g;La Boulangère;France;298.0;10.0;2.9;10.0;1.0;;;;;
Spofy;henry's;France;426.0;18.8;32.8;4.8;14.0;;;;;
Digestive Avena;Hacendado;Portugal;477.0;21.0;18.0;7.5;13.0;;;;;
Galettes St Michel au beurre 4X5 - 130g;St michel;Belgium;470.0;16.0;26.0;7.4;25.0;;;;;
Petit brun extra;Brun, Mondelez;France;441.0;12.0;25.0;7.2;20.0;;;;;
BN - Casse Croute Biscuits; 375g;BN;France;381.0;5.0;25.6;7.5;12.0;;;;
Goûter aux écorces confites;Gerblé;France;445.0;15.0;20.0;9.5;8.0;;;;;
Шоколад с 6% парченца малини;J.D. Gross, Lidl;Bulgaria;552.0;39.2;28.8;8.0;19.0;;;;;
Milka Tablette Noisette;Milka, Mondelez;Algeria;563.0;37.0;45.0;8.2;30.0;;;;;
Sablé saveur COCO;Gerblé;Belgium;427.2;15.0;0.0;6.2;3.0;;;;;
Biscuits petit déjeuner moelleux aux pépites de chocolat;LU, Mondelez;Belgium;200.0;7.2;9.9;2.9;4.0;;;;;
Capri choco;Excelo;Morocco;504.0;22.0;33.0;4.4;26.0;;;;;
Ferrero Rocher;Ferrero;Algeria;603.0;42.7;39.9;8.2;28.0;;;;;
NOIR DEGUSTATION 70% CARAMEL;J.D. Gross, Lidl;France;544.0;36.8;35.2;7.2;21.0;;;;;
Excellence Noir Délicat Doux 85% Cacao;Lindt EXCELLENCE;Austria;603.0;55.0;14.0;8.9;20.0;;;;;
La Madeleine Pur beurre;Bonne Maman;France;435.0;25.0;29.0;5.9;27.0;;;;;
;Bimo;Morocco;508.0;24.0;20.0;5.2;23.0;;;;;
Blueberry Muffin raw fruit & nut bar;nākd;United-kingdom;374.0;11.1;48.6;6.57;12.0;;;;;
Oreo Original;Mondelez,Oreo;Austria;473.0;19.1;38.2;5.45;24.0;;;;;
Benco Original;Benco;France;180.0;1.1;37.1;2.29;12.0;;;;;
Pelotazos futebolas;Cheetos;France;520.0;27.8;6.5;5.4;17.0;;;;;
Apple & Raisin Oat Bars;deliciously ella;France;426.0;17.4;29.0;5.6;21.0;;;;;
Crunchy Oats and Dark chocolate; 2 Barres de 21 g;Nature Valley;Belgium;474.0;19.8;26.9;8.81;14.0;;;;
Nutri+ avoine complet;Bjorg;France;442.0;15.0;16.0;9.1;6.0;;;;;
;Aiguebelle;France;512.0;39.3;25.3;9.2;23.0;;;;;
Cuetara Digesta Light 200G Marie Cookies;Cuétara;France;406.0;18.0;0.0;6.9;10.0;;;;;
Chip Choco Zero Sin Azúcares;gullón;Portugal;458.0;24.0;0.5;5.9;11.0;;;;;
Gingembre saveur citron 🍋;Gerblé;France;456.0;16.0;17.0;8.3;10.0;;;;;
Kinder Country;Kinder, Ferrero;Austria;561.0;33.8;49.1;8.6;31.0;;;;;
Sweet & Salty Popcorn;Proper Corn;United-kingdom;465.0;20.4;11.3;7.6;1.0;;;;;
Gocciole classiche pav 500 gr;Pavesi;Belgium;488.0;22.0;22.0;6.5;19.0;;;;;
Protein Caramel salé Cacahuètes;Nature Valley;France;495.0;29.5;15.8;26.0;15.0;;;;;
85% Cocoa - Dark Chocolate;Moser Roth;Ireland;604.0;49.6;13.2;10.8;15.0;;;;;
Noir equitable 85% Pérou;Alter Eco;Belgium;631.0;53.0;14.0;8.1;15.0;;;;;
Oatibix;Weetabix;France;390.0;8.0;4.8;12.0;-2.0;;;;;
Kinder Cards;Ferrero,Kinder;Belgium;510.0;26.3;42.9;11.5;30.0;;;;;
Petites Madeleines pépites chocolat;St Michel;France;425.0;21.0;29.0;5.1;18.0;;;;;
8 Pains au lait frais Bio 280g;La Boulangère Bio, La boulangere;France;345.0;11.0;8.7;9.3;11.0;;;;;
;Bimo;Morocco;461.0;14.5;27.0;6.3;20.0;;;;;
single origin milk chocolate;Marks & Spencer;France;618.0;47.4;37.2;8.4;29.0;;;;;
Petit Cookies Pépites de chocolat;Bonne Maman;Belgium;510.0;26.0;35.0;7.3;27.0;;;;;
Petit écolier chocolat noir pur beurre de cacao;Lu, Mondelez France;Canada;502.0;25.0;36.0;5.6;26.0;;;;;
Sweet & salty popcorn;Proper Corn;United-kingdom;464.0;20.7;27.1;7.86;16.0;;;;;
Protein Oat Boosts Cocoa Vanilla;Graze;France;386.0;22.0;8.9;6.3;;;;;;
Megachok;arluy;France;458.0;17.0;28.0;5.0;25.0;;;;;
Cranberry saveur amande;Gerblé;France;48.0;1.5;1.8;0.8;0.0;;;;;
Biscuits 3 graines Kasha; Sésame; Pavot;Gerblé;France;448.0;17.0;17.0;9.5;7.0;;;
Chocolat noir 85% Madagascar;Ethiquable;France;619.0;51.0;14.0;11.0;15.0;;;;;
Véritable petit beurre;LU, Mondelez, Mondelez international;France;440.0;12.0;23.0;8.0;24.0;;;;;
Pringles Texas BBQ 165g ajman;Pringles;Belgium;517.0;29.0;4.1;6.3;13.0;;;;;
Sablés chocolat;McVitie's;France;496.0;23.6;28.5;6.7;28.0;;;;;
NAKD PROTEIN - Cacao noisette - 45g (16x1p);Nakd;France;424.0;22.0;28.0;16.0;;;;;;
Kinder Bueno;Kinder;Algeria;572.0;37.3;41.2;8.6;30.0;;;;;
Wheat Biscuits;By Sainsbury's;United-kingdom;358.0;2.0;4.4;12.0;-3.0;;;;;
Shortbread Fingers;Walker’s;United-kingdom;533.0;30.3;16.2;5.6;23.0;;;;;
Chips saveur fromage du Jura;Brets;France;522.0;31.0;1.1;6.3;14.0;;;;;
Top cookies;Excelo;Morocco;494.0;21.0;31.0;5.8;24.0;;;;;
cooky original chocolate chips;Be;Morocco;397.0;20.3;27.3;3.2;22.0;;;;;
Chips de lentilles saveur tomate mozza;Natu' & Bon,Vico;France;452.0;19.0;3.8;13.0;8.0;;;;;
Fruit & Seed Oatcakes;Nairn's;France;440.0;15.2;16.0;9.6;10.0;;;;;
Milka oreo;Milka Oreo;France;559.0;35.0;50.0;5.0;32.0;;;;;
Chocolate negro;Carrefour BIO, Carrefour;Belgium;567.0;42.0;27.0;9.6;19.0;;;;;
Cocoa Orange;Nakd;United-kingdom;394.0;16.0;43.0;8.7;12.0;;;;;
Savane;Brossard;France;431.0;24.0;24.0;5.9;13.0;;;;;
Nutabella;null;Morocco;522.0;25.5;71.7;1.31;22.0;;;;;
Absolute black dark chocolate;Montezuma's;Spain;601.0;54.0;3.0;13.0;12.0;;;;;
eyoo;Excelo;France;493.0;19.7;72.0;7.0;33.0;;;;;
Flash Wondermint Gum;Flash;France;350.0;2.1;59.0;4.1;;;;;;
Biscuits Mega Duo imp;Gullon;France;480.0;20.0;31.0;5.9;22.0;;;;;
cooky;be;Morocco;448.96;22.19;34.9;4.64;25.0;;;;;
Dark Chocolate Chip Oat Biscuits;Nairn's;France;454.0;16.9;19.0;8.1;16.0;;;;;
180G LT NOISETTE COTE D OR;Côte d'Or;Algeria;555.0;36.0;43.0;9.3;26.0;;;;;
Dark Chocolate;TESCO finest;United-kingdom;630.0;54.0;13.0;10.0;15.0;;;;;
Merci Finest Selection Assorted Chocolates;Storck;Austria;563.0;36.1;48.0;7.8;30.0;;;;;
LOTUS BISCOFF Speculoos Original - 250g (2x125g);Lotus Bakeries, Lotus;Belgium;484.0;19.0;38.1;4.9;28.0;;;;;
Noir 70% Intense;Côte d'Or,Mondelēz;Belgium;601.0;47.0;28.0;7.1;20.0;;;;;
Biscuits Germe de Blé et Pépites de Chocolat;Lidl,Sondey;France;467.0;18.0;21.0;9.1;14.0;;;;;
Milka wholenut;Milka;France;555.0;36.0;47.0;8.1;30.0;;;;;
nakd peanut butter protein bar;Nakd;Belgium;443.0;21.9;26.8;17.4;10.0;;;;;
Fine & Gourmande Noir 70%;Fine gourmande,Poulain;France;539.0;44.0;0.5;7.6;11.0;;;;;
Barre céréales Protéines peanut& chocolat🍫;Nature Valley;Belgium;492.0;30.1;15.4;25.6;;;;;;
Nature Valley Crunchy Oats & Honey;Nature Valley;France;467.0;18.1;26.8;8.7;14.0;;;;;
B'ono Wafer;Excelo;Morocco;508.0;31.0;29.5;6.4;24.0;;;;;
Bâtonnets de céréales fourrés (47;5 %) au chocolat - Cracotte Chocolat;LU,Mondelez;Belgium;456.0;16.2;30.0;7.51;17.0;;;;
Tortilla Nachips Original;Old El Paso;Austria;490.0;23.7;0.67;7.67;4.0;;;;;
Tentation aiguebelle;Aiguebelle;Morocco;582.0;49.6;10.5;10.0;20.0;;;;;
Nut & fruit mix classic;Alesto, Lidl;Bulgaria;534.0;36.9;30.9;13.4;14.0;;;;;
Baiocchi nocciola 260g;Barilla;France;510.0;26.0;23.0;8.0;17.0;;;;;
Table Water Biscuits;Carr's;France;417.0;7.7;0.899;10.1;3.0;;;;;
Biscoff;Lotus;Armenia;484.0;19.0;38.1;4.9;28.0;;;;;
B-ready 6 pièces;Ferrero;Belgium;521.0;27.0;47.1;7.2;30.0;;;;;
Cheese & Onion Flavour Potato Crisps;Walkers;United-kingdom;512.0;29.6;2.8;6.8;12.0;;;;;
Pim's Sinaasappel;LU;Belgium;397.0;13.0;48.0;3.3;24.0;;;;;
